review_id,autor,es_local_guide,n_resenas_autor,n_fotos_autor,tiempo_relativo,fecha_aprox,editado,comio_alli,turno,rango_precio,texto,texto_truncado,longitud_texto,reacciones_total,score_positivo,score_negativo,score_sentimiento,tono,respuesta_propietario,tiempo_respuesta_propietario
1,Jorge Sancerni,True,171.0,745.0,Hace un mes,2026-07-22,False,False,Cena,40-50 €,Repetiremos sin duda. Hemos ido a cenar en pareja aunque coincidimos con grupos de amigos y familia.  Sam de gamba Ravioli de rabo Bombones de Wagyu Tartar de atún,False,163,1,2,0,2,Positiva,,
2,Rosa Visconti,True,115.0,355.0,Hace 4 meses,2026-04-23,False,False,Comida,40-50 €,"Estaba todo realmente bueno y llegó rápido a la mesa. Destacaría el tartar de atún y el bikini de pesto. Me decepcionaron las croquetas, al menos a mi, me parecieron súper saladas.  Tartar de atún rojo Torreznos con patatas revolconas Tratar de atún rojo Croquetas de jamón ibérico Albóndigas de wagyu Coulant Torrija Tarta de queso Chuletón matizado",False,350,0,1,3,-2,Negativa,,
3,gonzalo martin,True,436.0,1207.0,Hace 5 meses,2026-03-24,False,False,Cena,30-40 €,"Buen restaurante en pozuelo para comer o cenar con amigos o familia, siendo el trato del personal excelente.",True,108,0,1,0,1,Positiva,,
4,Elvira Valiente,False,3.0,3.0,Hace 4 semanas,2026-07-24,False,False,,,"Comida muy buena, muy buen ambiente y el camarero super atento y simpatico. ¡Repetiremos seguro!",True,96,0,3,0,3,Positiva,,
5,Sara López,True,10.0,11.0,Hace 6 meses,2026-02-22,False,False,Cena,20-30 €,Nos ha encantado. Lo mejor el ravioli de rabo de toro buenísimo. Las gambas rojas a la plancha exquisitas también. Y el camarero muy atento. Volveremos.,True,152,0,5,0,5,Positiva,,
6,Cristina Bustillo,True,243.0,1391.0,Hace 7 meses,2026-01-23,False,False,Comida,30-40 €,"El sitio está muy bien y la comida muy rica. Por poner un pero que la diferencia de cantidad entre unos platos y otros es significa, pero estaba muy rico y muy bien presentado.",True,176,0,2,0,2,Positiva,,
7,Alberto M,True,343.0,817.0,Hace 7 meses,2026-01-23,False,True,Comida,30-40 €,"Restaurante con 3 estrellas Michelin, se suele llenar, así que mejor ir con reserva o entre semana. Muy buena calidad/precio con cantidades normales para la zona.",True,162,1,1,1,0,Neutra/mixta,"Alberto, muchísimas gracias por tu reseña que nos ayuda infinitamente a seguir por el camino correcto, rectificar para no dar lugar a error que no son estrellas sino reconocimientos de la prestigiosa Guia Michelin a los restaurantes que no las tenemos pero que nos posicionamos en lo alto de la gastronomía. Reitero las gracias y esperamos verte pronto por nuestra casa.",Hace 7 meses
8,Manuel Chuvieco,True,11.0,3.0,Hace un mes,2026-07-22,False,False,Comida,20-30 €,"Mala calidad de la comida y escasa, ocho ""mejillones"" pequeños (clóchinas) de primero, mal servicio, no hay manteles, solo pequeños salvamanteles, cubiertos sucios, servilletas de papel para un menú de ¡Veinte euros! No saben servir el",True,235,0,1,7,-6,Negativa,,
9,H Watch,True,339.0,1172.0,Hace 7 meses,2026-01-23,False,False,,,"La Roca en Pozuelo de Alarcón es un restaurante con una cocina deliciosa de inspiración española y mediterránea, donde los ingredientes frescos y de calidad brillan en cada plato. El ambiente es acogedor y elegante, ideal para comidas",True,234,0,2,0,2,Positiva,,
10,Francisco Pérez,True,15.0,5.0,Hace 4 meses,2026-04-23,False,False,Comida,40-50 €,"La comida correcta en general pero las raciones muy pequeñas, con lo que los precios son muy altos en proporción. En algunos platos, como el tuétano a la brasa, la cantidad era irrisoria y costaba 18€.",True,201,0,0,2,-2,Negativa,,
