"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
1,"Jorge Sancerni","Local Guide · 171 reseñas · 745 fotos","Hace 1 mes","Cena","40-50 €","Positivo","Sam de gamba, Ravioli de rabo, Bombones de Wagyu, Tartar de atún","Todo muy rico, plan perfecto para ir en pareja o grupos","","No","Repetiremos sin duda. Hemos ido a cenar en pareja aunque coincidimos con grupos de amigos y familia. Sam de gamba, Ravioli de rabo, Bombones de Wagyu, Tartar de atún."
2,"Rosa Visconti","Local Guide · 115 reseñas · 355 fotos","Hace 4 meses","Comida","40-50 €","Mixto","Tartar de atún rojo, Bikini de pesto, Torreznos con patatas revolconas, Croquetas de jamón ibérico, Albóndigas de wagyu, Coulant, Torrija, Tarta de queso, Chuletón matizado","Comida buena y servicio rápido a la mesa; sobresaliente el tartar y el bikini de pesto","Croquetas decepcionantes por estar súper saladas","No","Estaba todo realmente bueno y llegó rápido a la mesa. Destacaría el tartar de atún y el bikini de pesto. Me decepcionaron las croquetas, al menos a mi, me parecieron súper saladas."
3,"gonzalo martin","Local Guide · 436 reseñas · 1.207 fotos","Hace 5 meses","Cena","30-40 €","Positivo","","Trato excelente del personal, buen sitio para grupos o familia","","No","Buen restaurante en pozuelo para comer o cenar con amigos o familia, siendo el trato del personal excelente."
4,"Elvira Valiente","3 reseñas · 3 fotos","Hace 4 semanas","","","Positivo","","Comida muy rica, ambiente acogedor, camarero atento y simpático","","No","Comida muy buena, muy buen ambiente y el camarero super atento y simpatico. ¡Repetiremos seguro!"
5,"Sara López","Local Guide · 10 reseñas · 11 fotos","Hace 6 meses","Cena","20-30 €","Positivo","Ravioli de rabo de toro, Gambas rojas a la plancha","Platos exquisitos, camarero muy atento","","No","Nos ha encantado. Lo mejor el ravioli de rabo de toro buenísimo. Las gambas rojas a la plancha exquisitas también. Y el camarero muy atento. Volveremos."
6,"Cristina Bustillo","Local Guide · 243 reseñas · 1.391 fotos","Hace 7 meses","Comida","30-40 €","Positivo","","Comida muy rica y platos muy bien presentados","Diferencia de cantidad notable entre unos platos y otros","No","El sitio está muy bien y la comida muy rica. Por poner un pero que la diferencia de cantidad entre unos platos y otros es significa, pero estaba muy rico y muy bien presentado."
7,"Alberto M","Local Guide · 343 reseñas · 817 fotos","Hace 7 meses","Comida","30-40 €","Positivo","","Muy buena relación calidad/precio, raciones normales para Pozuelo","Se llena con facilidad (conviene reservar)","Sí","Restaurante con 3 estrellas Michelin, se suele llenar, así que mejor ir con reserva o entre semana. Muy buena calidad/precio con cantidades normales para la zona."
8,"Manuel Chuvieco","Local Guide · 11 reseñas · 3 fotos","Hace 1 mes","Comida","20-30 €","Negativo","Mejillones (clóchinas)","","Mala calidad, raciones escasas (8 mejillones pequeños), mal servicio, cubiertos sucios, servilletas de papel y sin manteles para menú de 20€","No","Mala calidad de la comida y escasa, ocho mejillones pequeños (clóchinas) de primero, mal servicio, no hay manteles, solo pequeños salvamanteles, cubiertos sucios, servilletas de papel para un menú de ¡Veinte euros! No saben servir..."
9,"H Watch","Local Guide · 339 reseñas · 1.172 fotos","Hace 7 meses","","","Positivo","","Ingredientes frescos de calidad, cocina mediterránea deliciosa, ambiente elegante","","No","La Roca en Pozuelo de Alarcón es un restaurante con una cocina deliciosa de inspiración española y mediterránea, donde los ingredientes frescos y de calidad brillan en cada plato. El ambiente es acogedor y elegante..."
10,"Francisco Pérez","Local Guide · 15 reseñas · 5 fotos","Hace 4 meses","Comida","40-50 €","Negativo","Tuétano a la brasa","Comida correcta","Raciones muy pequeñas y precio desproporcionado (tuétano irrisorio a 18€)","No","La comida correcta en general pero las raciones muy pequeñas, con lo que los precios son muy altos en proporción. En algunos platos, como el tuétano a la brasa, la cantidad era irrisoria y costaba 18€."
